run:
[50	11	0.2	0.1623	5.06	0.9842	3.78	1.3386	4.1	1.2341]
[50	11	0.25	0.2144	5.13	0.9435	4.1	1.2512	4.57	1.1225]
[50	11	0.3	0.2667	5.36	0.9179	4.44	1.2072	4.88	1.0984]
[50	11	0.35	0.3191	5.82	0.9072	4.93	1.1805	5.23	1.1128]
[50	11	0.4	0.3714	6.19	0.9208	5.38	1.1506	5.6	1.1054]
[50	11	0.45	0.4238	6.66	0.9384	5.69	1.1705	6.14	1.0847]
[50	11	0.5	0.4762	7.47	0.9518	6.31	1.1838	6.61	1.1301]
[50	11	0.55	0.5286	7.99	0.9537	6.8	1.175	7.23	1.1051]
[50	11	0.6	0.581	8.89	0.9651	7.57	1.1744	7.86	1.131]
[50	11	0.65	0.6333	9.81	0.9684	8.51	1.1528	8.89	1.1035]
[50	11	0.7	0.6857	11.27	0.984	9.48	1.1888	9.75	1.1559]
[50	11	0.75	0.7381	12.75	0.9875	10.95	1.1644	11.19	1.1394]
[50	11	0.8	0.7905	15.91	0.9943	12.92	1.2314	13.1	1.2145]
[50	11	0.85	0.8429	18.8	0.9984	15.82	1.1884	16.12	1.1663]
[50	11	0.9	0.8952	24.37	1.0	19.79	1.2314	20.48	1.1899]
[50	11	0.95	0.9476	32.65	1.0	27.42	1.1907	27.79	1.1749]
[50	12	0.05	0.0214	3.91	0.9974	2.15	1.8186	2.88	1.3576]
[50	12	0.1	0.0643	4.76	0.9979	3.02	1.5762	3.11	1.5305]
[50	12	0.15	0.1139	4.82	0.9813	3.28	1.4695	3.71	1.2992]
[50	12	0.2	0.1654	4.83	0.9627	3.92	1.2321	4.04	1.1955]
[50	12	0.25	0.2174	4.9	0.9306	4.21	1.1639	4.4	1.1136]
[50	12	0.3	0.2696	5.26	0.9202	4.55	1.156	4.8	1.0958]
[50	12	0.35	0.3217	5.62	0.9164	5.01	1.1218	5.26	1.0684]
[50	12	0.4	0.3739	5.9	0.922	5.38	1.0967	5.52	1.0688]
[50	12	0.45	0.4261	6.79	0.9264	5.79	1.1727	6.12	1.1095]
[50	12	0.5	0.4783	7.15	0.9273	6.46	1.1068	6.53	1.0949]
[50	12	0.55	0.5304	8.08	0.9406	6.94	1.1643	7.26	1.1129]
[50	12	0.6	0.5826	8.82	0.9637	7.67	1.1499	8.05	1.0957]
[50	12	0.65	0.6348	9.46	0.9693	8.56	1.1051	8.64	1.0949]
[50	12	0.7	0.687	11.33	0.9788	9.86	1.1491	9.79	1.1573]
[50	12	0.75	0.7391	12.86	0.9798	11.01	1.168	11.18	1.1503]
[50	12	0.8	0.7913	15.2	0.9941	12.9	1.1783	13.26	1.1463]
[50	12	0.85	0.8435	18.41	0.9984	15.43	1.1931	16.09	1.1442]
[50	12	0.9	0.8957	24.14	0.9988	20.34	1.1868	20.56	1.1741]
[50	12	0.95	0.9478	32.09	1.0	27.82	1.1535	27.78	1.1551]
[50	13	0.05	0.0225	3.89	1.0	2.24	1.7366	2.86	1.3601]
[50	13	0.1	0.0666	4.55	0.9912	3.02	1.5066	3.19	1.4263]
[50	13	0.15	0.1166	4.69	0.9765	3.36	1.3958	3.71	1.2642]
[50	13	0.2	0.1681	4.7	0.9426	3.92	1.199	4.01	1.1721]
[50	13	0.25	0.22	4.96	0.9375	4.27	1.1616	4.48	1.1071]
[50	13	0.3	0.272	5.22	0.9042	4.51	1.1574	4.69	1.113]
[50	13	0.35	0.324	5.45	0.8991	4.99	1.0922	5.15	1.0583]
[50	13	0.4	0.376	5.95	0.9193	5.55	1.0721	5.57	1.0682]
[50	13	0.45	0.428	6.45	0.9426	5.85	1.1026	5.95	1.084]
[50	13	0.5	0.48	7.11	0.9255	6.29	1.1304	6.63	1.0724]
[50	13	0.55	0.532	7.76	0.9472	7.06	1.0992	7.3	1.063]
[50	13	0.6	0.584	8.6	0.9581	7.69	1.1183	7.84	1.0969]
[50	13	0.65	0.636	10.0	0.971	8.54	1.171	8.78	1.139]
[50	13	0.7	0.688	11.05	0.981	9.49	1.1644	9.63	1.1475]
[50	13	0.75	0.74	12.84	0.9829	10.83	1.1856	11.45	1.1214]
[50	13	0.8	0.792	15.01	0.996	12.71	1.181	13.31	1.1277]
[50	13	0.85	0.844	18.14	0.9967	15.6	1.1628	16.04	1.1309]
[50	13	0.9	0.896	23.37	0.9996	20.05	1.1656	20.6	1.1345]
[50	13	0.95	0.948	32.08	1.0	27.68	1.159	28.04	1.1441]
[50	14	0.05	0.0236	4.0	1.0	2.17	1.8433	2.95	1.3559]
[50	14	0.1	0.0686	4.42	0.9887	3.01	1.4684	3.27	1.3517]
[50	14	0.15	0.1189	4.53	0.9713	3.41	1.3284	3.73	1.2145]
[50	14	0.2	0.1704	4.66	0.9464	3.9	1.1949	4.09	1.1394]
[50	14	0.25	0.2222	4.88	0.918	4.2	1.1619	4.32	1.1296]
[50	14	0.3	0.2741	5.18	0.9247	4.54	1.141	4.83	1.0725]
[50	14	0.35	0.3259	5.55	0.9081	5.0	1.11	5.13	1.0819]
[50	14	0.4	0.3778	6.0	0.925	5.26	1.1407	5.67	1.0582]
[50	14	0.45	0.4296	6.56	0.9101	5.96	1.1007	6.09	1.0772]
[50	14	0.5	0.4815	7.23	0.9433	6.55	1.1038	6.62	1.0921]
[50	14	0.55	0.5333	7.89	0.9442	7.03	1.1223	7.2	1.0958]
[50	14	0.6	0.5852	8.69	0.962	7.72	1.1256	8.14	1.0676]
[50	14	0.65	0.637	9.63	0.9761	8.6	1.1198	8.89	1.0832]
[50	14	0.7	0.6889	11.09	0.9739	9.55	1.1613	9.97	1.1123]
[50	14	0.75	0.7407	12.7	0.9874	10.82	1.1738	11.18	1.136]
[50	14	0.8	0.7926	14.97	0.9933	13.06	1.1462	13.06	1.1462]
[50	14	0.85	0.8444	17.98	0.9994	15.61	1.1518	15.87	1.133]
[50	14	0.9	0.8963	23.27	1.0	20.24	1.1497	20.61	1.1291]
[50	14	0.95	0.9481	31.68	1.0	27.65	1.1458	27.94	1.1339]
